PropertyBritish,Word,DominantModality,Sight,Touch,Sound,Taste,Smell,ModalityExclusivity
abrasive,abrasive,Haptic,2.894736842,3.684210526,1.684210526,0.578947368,0.578947368,0.329608939
absorbent,absorbent,Visual,4.142857143,3.142857143,0.714285714,0.476190476,0.476190476,0.409574468
aching,aching,Haptic,2.047619048,3.666666667,0.666666667,0.047619048,0.095238095,0.554744526
acidic,acidic,Gustatory,2.19047619,1.142857143,0.476190476,4.19047619,2.904761905,0.340611354
acrid,acrid,Olfactory,1.125,0.625,0.375,3,3.5,0.362318841
adhesive,adhesive,Haptic,3.666666667,4.333333333,1.19047619,0.904761905,1.761904762,0.289156627
alcoholic,alcoholic,Gustatory,2.85,0.35,0.75,4.35,4.3,0.317460317
alive,alive,Visual,4.571428571,3.80952381,4.095238095,1.571428571,2.380952381,0.182608696
amber,amber,Visual,4.476190476,0.523809524,0.142857143,0.571428571,0.857142857,0.65942029
angular,angular,Visual,4.285714286,4.095238095,0.25,0.047619048,0.047619048,0.485675307
antiseptic,antiseptic,Olfactory,1.666666667,0.9,0.142857143,1.761904762,3.952380952,0.4522329
aromatic,aromatic,Olfactory,1.3,0.333333333,0.285714286,3.380952381,4.523809524,0.431410567
astringent,astringent,Gustatory,1.625,0.5,0.375,1.75,1.25,0.25
audible,audible,Auditory,1.142857143,0.285714286,4.952380952,0.047619048,0.047619048,0.757352941
banging,banging,Auditory,3.047619048,1.333333333,4.523809524,0,0.047619048,0.505319149
barbecued,barbecued,Gustatory,4.619047619,1.380952381,1.571428571,4.952380952,4.666666667,0.207756233
barking,barking,Auditory,3.380952381,0.476190476,5,0.142857143,0.523809524,0.51
beautiful,beautiful,Visual,4.619047619,2.761904762,2.904761905,2.80952381,2.80952381,0.116766467
beeping,beeping,Auditory,1.428571429,0.142857143,4.857142857,0,0.047619048,0.75
beery,beery,Gustatory,3.157894737,0.894736842,0.631578947,4.263157895,3.526315789,0.291139241
beige,beige,Visual,4.476190476,0.095238095,0.095238095,0.047619048,0.095238095,0.920792079
bent,bent,Visual,4.619047619,4.095238095,0,0.047619048,0,0.527173913
big,big,Visual,4.857142857,4.380952381,1.714285714,0.857142857,0.428571429,0.361867704
biscuity,biscuity,Gustatory,3.476190476,2.238095238,0.904761905,4.952380952,3,0.277777778
bitter,bitter,Gustatory,0.857142857,0.095238095,0.19047619,4.904761905,2.904761905,0.537234043
black,black,Visual,4.571428571,0.095238095,0.142857143,0.095238095,0.142857143,0.886792453
bland,bland,Gustatory,2.095238095,0.428571429,0.80952381,4.80952381,3.619047619,0.372469636
blaring,blaring,Auditory,1.3,0.45,4.5,0.2,0.2,0.646616541
bleeping,bleeping,Auditory,1.666666667,0.19047619,4.952380952,0.095238095,0.142857143,0.689189189
blonde,blonde,Visual,4.80952381,0.047619048,0.19047619,0.047619048,0.142857143,0.909090909
bloody,bloody,Visual,4.714285714,1.857142857,0.7,1.285714286,1.142857143,0.413843888
blotchy,blotchy,Visual,4.619047619,1.666666667,0.428571429,0.380952381,0.238095238,0.597402597
blue,blue,Visual,4.761904762,0.238095238,0.761904762,0,0.19047619,0.8
blunt,blunt,Haptic,4.571428571,4.714285714,0.904761905,0.25,0.19047619,0.425531915
boiling,boiling,Visual,4.428571429,4.047619048,2.761904762,2.095238095,1,0.239202658
booming,booming,Auditory,2.095238095,0.952380952,4.571428571,0.095238095,0.095238095,0.573170732
bouncy,bouncy,Haptic,3.571428571,3.666666667,2,0,0,0.396907216
brackish,brackish,Haptic,2,3,1.5,1.5,2,0.15
branching,branching,Visual,4.1,2.45,1.2,0.05,0.1,0.512658228
breakable,breakable,Visual,4.285714286,4.238095238,2.095238095,0.095238095,0.095238095,0.387665198
breezy,breezy,Visual,3,2.761904762,2.952380952,0.047619048,0.571428571,0.316326531
bright,bright,Visual,5,0.19047619,0.142857143,0.047619048,0.095238095,0.904347826
brilliant,brilliant,Visual,3.952380952,2.19047619,3,2.523809524,2.095238095,0.134948097
briny,briny,Gustatory,2.153846154,1.538461538,0.846153846,3.230769231,2.153846154,0.240310078
bristly,bristly,Haptic,4.3,4.65,1.95,1.05,0.2,0.366255144
brittle,brittle,Haptic,3.428571429,3.952380952,1.523809524,0.380952381,0.047619048,0.418367347
broad,broad,Visual,4.047619048,3.095238095,0.952380952,0.19047619,0.285714286,0.45
broken,broken,Visual,4.857142857,4.333333333,3.19047619,0.476190476,0.476190476,0.328571429
bronze,bronze,Visual,4.333333333,0.80952381,0.142857143,0.285714286,0.619047619,0.676923077
brown,brown,Visual,4.714285714,0.19047619,0.095238095,0.333333333,0.238095238,0.829059829
brunette,brunette,Visual,4.8,0,0.1,0,0,0.979591837
bulky,bulky,Visual,4.428571429,3.761904762,0.571428571,0.333333333,0.095238095,0.471502591
bumpy,bumpy,Haptic,4.095238095,4.476190476,1.238095238,0.65,0.047619048,0.421481985
burning,burning,Olfactory,4.047619048,3.619047619,1.714285714,2.523809524,4.428571429,0.166180758
burnt,burnt,Olfactory,4.19047619,2.380952381,0.476190476,4.047619048,4.571428571,0.261398176
bursting,bursting,Visual,4.238095238,3.238095238,2.761904762,1.19047619,1,0.260536398
buttery,buttery,Gustatory,3.095238095,1.80952381,0.095238095,4.904761905,3.19047619,0.367272727
buzzing,buzzing,Auditory,1.80952381,1.714285714,4.714285714,0.142857143,0.047619048,0.553672316
caramelised,caramelized,Gustatory,3.523809524,1.428571429,0.285714286,4.380952381,3.904761905,0.302816901
charred,charred,Visual,3.684210526,1.684210526,0.157894737,2.421052632,3.315789474,0.313084112
cheesy,cheesy,Gustatory,3.047619048,0.476190476,0.666666667,4.714285714,4.19047619,0.323636364
chequered,checkered,Visual,4.473684211,0.263157895,0.105263158,0,0,0.923913043
chewy,chewy,Gustatory,2.571428571,2.047619048,1.333333333,4.476190476,0.619047619,0.349137931
chilly,chilly,Haptic,2.952380952,4.19047619,0.666666667,1.285714286,0.571428571,0.374384236
chocolatey,chocolatey,Gustatory,4.19047619,1,0.333333333,4.952380952,4.523809524,0.307936508
chubby,chubby,Visual,4.952380952,4.095238095,0.428571429,0.19047619,0.571428571,0.465116279
circular,circular,Visual,4.761904762,3.857142857,0.142857143,0.095238095,0,0.537634409
citrusy,citrusy,Gustatory,2.571428571,0.571428571,0.047619048,5,3.952380952,0.407843137
clammy,clammy,Haptic,2.75,4.35,0.4,0.6,1.45,0.413612565
clamorous,clamorous,Haptic,2.25,2.875,2.375,0.125,0.875,0.323529412
clean,clean,Visual,4.619047619,3.333333333,0.571428571,1.80952381,3.80952381,0.286195286
clear,clear,Visual,4.523809524,1.238095238,2.523809524,0.571428571,1.047619048,0.399038462
cloudy,cloudy,Visual,4.714285714,0.285714286,0.142857143,0.333333333,0.142857143,0.813559322
cloying,cloying,Gustatory,1.666666667,1.75,0.333333333,3.333333333,2.333333333,0.318584071
coconutty,coconutty,Gustatory,3.619047619,1.523809524,0.19047619,4.666666667,3.619047619,0.328671329
cold,cold,Haptic,2.857142857,4.666666667,0.761904762,2.380952381,0.952380952,0.336065574
colossal,colossal,Visual,4.875,2.294117647,1.6875,0.3125,0.5625,0.468832641
colourful,colorful,Visual,4.80952381,0.238095238,0.19047619,0.333333333,0.428571429,0.76984127
compact,compact,Visual,4.761904762,2.904761905,0.476190476,0.285714286,0.19047619,0.53038674
conical,conical,Visual,4.692307692,4.076923077,0.153846154,0.076923077,0,0.521367521
contoured,contoured,Visual,4.15,3.6,0.35,0.05,0.1,0.496969697
cooing,cooing,Auditory,2.157894737,0.105263158,4.842105263,0,0,0.681481481
cool,cool,Haptic,2.428571429,4.333333333,0.380952381,1.857142857,0.285714286,0.435897436
crackling,crackling,Auditory,2.80952381,1.380952381,4.285714286,1.333333333,0.904761905,0.315555556
craggy,craggy,Visual,3.466666667,2.666666667,1,0.133333333,0.133333333,0.45045045
crashing,crashing,Visual,4.619047619,1.238095238,4.571428571,0.142857143,0.523809524,0.403433476
creaking,creaking,Auditory,2.047619048,1.142857143,4.476190476,0,0,0.583850932
creamy,creamy,Gustatory,3.80952381,2.761904762,0.19047619,4.476190476,2.380952381,0.314685315
creased,creased,Visual,4.7,3.65,0.15,0.15,0.15,0.517045455
crimson,crimson,Visual,4.428571429,0.285714286,0.19047619,0.047619048,0.095238095,0.867924528
crinkled,crinkled,Visual,4.619047619,4.619047619,2.714285714,0.904761905,0.238095238,0.334545455
crisp,crisp,Haptic,3.095238095,3.380952381,2.047619048,2.666666667,1.142857143,0.181467181
crooked,crooked,Visual,4.476190476,3.571428571,0.619047619,0.19047619,0.142857143,0.481481481
crowded,crowded,Visual,4.619047619,2.285714286,3.714285714,0,0.761904762,0.405857741
crunching,crunching,Auditory,2.142857143,2.142857143,3.714285714,3.047619048,0.428571429,0.286307054
crying,crying,Auditory,4.428571429,1.238095238,4.476190476,0.142857143,0.047619048,0.428571429
curly,curly,Visual,4.761904762,3.857142857,0,0.285714286,0,0.534759358
curved,curved,Visual,4.5,3.95,0.1,0.105263158,0,0.519914868
cute,cute,Visual,4.761904762,1.666666667,3.142857143,0.380952381,0.80952381,0.407079646
damp,damp,Haptic,3.80952381,4.142857143,0.380952381,0.380952381,3.142857143,0.317269076
dank,dank,Visual,3.466666667,1.176470588,0.866666667,0.733333333,2.8,0.302254987
dappled,dappled,Visual,4,1.857142857,0.571428571,0.214285714,0.285714286,0.546391753
dark,dark,Visual,4.428571429,0.19047619,0.714285714,0.523809524,0.19047619,0.700787402
dazzling,dazzling,Visual,4.904761905,0.380952381,0.619047619,0.095238095,0.238095238,0.770992366
dead,dead,Visual,4.095238095,2.428571429,1.380952381,0.238095238,2.333333333,0.368181818
deafening,deafening,Auditory,1.238095238,0.19047619,5,0.047619048,0,0.772058824
deep,deep,Visual,4.428571429,3.619047619,2.095238095,0.285714286,0.380952381,0.383259912
delicious,delicious,Gustatory,3.380952381,1.333333333,1.333333333,4.714285714,4.19047619,0.22611465
dim,dim,Visual,4.333333333,0.095238095,0.80952381,0.25,0.19047619,0.746331237
dirty,dirty,Visual,4.80952381,2.714285714,0.476190476,1.285714286,3.523809524,0.338289963
downy,downy,Visual,3.333333333,2.75,0.133333333,0.133333333,0,0.524934383
drab,drab,Visual,4.105263158,1.105263158,1.263157895,1.368421053,0.736842105,0.392638037
dry,dry,Haptic,3.571428571,4.285714286,0.333333333,2.523809524,0.428571429,0.354700855
dull,dull,Visual,4.285714286,0.571428571,2.333333333,1.238095238,1.19047619,0.386138614
dusty,dusty,Visual,4.285714286,3.380952381,0.05,0.380952381,1.19047619,0.456036914
earthy,earthy,Visual,3.952380952,3.428571429,1.047619048,2,3.095238095,0.214788732
echoing,echoing,Auditory,0.523809524,0.333333333,4.714285714,0,0,0.846153846
eggy,eggy,Gustatory,2.857142857,1.047619048,0.142857143,4.380952381,4.333333333,0.332089552
elastic,elastic,Haptic,3.80952381,4.571428571,1.952380952,0.619047619,0.666666667,0.340163934
elegant,elegant,Visual,4.761904762,1.523809524,1.857142857,0.666666667,1.095238095,0.413461538
empty,empty,Visual,4.75,3.6,1.65,0.25,0.15,0.442307692
enormous,enormous,Visual,4.761904762,3.857142857,1.19047619,0.095238095,0.333333333,0.455813953
faint,faint,Visual,2.761904762,0.619047619,2.333333333,1.428571429,1.857142857,0.238095238
falling,falling,Visual,4.857142857,1.80952381,3,0.19047619,0.19047619,0.464454976
fat,fat,Visual,4.619047619,3.761904762,0.380952381,1.55,0.952380952,0.376241809
fatty,fatty,Gustatory,3.666666667,1.857142857,0.333333333,4.380952381,1.714285714,0.338645418
feverish,feverish,Haptic,2.857142857,3.19047619,0.666666667,0.238095238,0.285714286,0.407894737
filthy,filthy,Visual,4.857142857,2,0.380952381,0.238095238,2.428571429,0.466346154
fishy,fishy,Olfactory,3.380952381,0.952380952,0.285714286,4.476190476,4.571428571,0.31358885
flaky,flaky,Haptic,3.761904762,3.952380952,1.19047619,1.714285714,0.333333333,0.330434783
flat,flat,Visual,4.523809524,4.142857143,0.857142857,0.523809524,0.047619048,0.443396226
flavoursome,flavorsome,Gustatory,1.904761905,0.428571429,0.19047619,4.857142857,4.238095238,0.401639344
fleshy,fleshy,Visual,4.285714286,3.571428571,0.095238095,2.15,0.904761905,0.38070517
flickering,flickering,Visual,4.761904762,0.571428571,1.285714286,0.095238095,0.095238095,0.685314685
floppy,floppy,Visual,4.238095238,4.19047619,0.142857143,0.238095238,0.142857143,0.457446809
floral,floral,Visual,4.80952381,1.523809524,0.142857143,1.35,3.80952381,0.401064047
flowery,flowery,Visual,4.428571429,1.857142857,0,0.571428571,3.904761905,0.411504425
fluffy,fluffy,Haptic,4.047619048,4.571428571,0.333333333,1.095238095,0.333333333,0.408256881
foamy,foamy,Visual,4.523809524,3.666666667,0.285714286,1.19047619,0.428571429,0.419811321
foetid,fetid,Olfactory,2.25,1.25,0,2.25,2.25,0.28125
foggy,foggy,Visual,4.761904762,0.80952381,0.333333333,0.095238095,0.476190476,0.720588235
forked,forked,Visual,4.047619048,3.428571429,0.285714286,0.238095238,0.095238095,0.488235294
fragrant,fragrant,Olfactory,0.952380952,0.238095238,0.238095238,2.761904762,5,0.518134715
freezing,freezing,Haptic,3.952380952,4.761904762,0.666666667,2.095238095,0.619047619,0.342519685
fresh,fresh,Olfactory,3.952380952,2.428571429,1,4.095238095,4.523809524,0.220238095
frosty,frosty,Visual,4.047619048,3.761904762,1.047619048,0.952380952,0.857142857,0.299107143
fruity,fruity,Gustatory,3.238095238,0.904761905,0.238095238,4.761904762,4.428571429,0.333333333
fuzzy,fuzzy,Visual,3.666666667,3.047619048,1.571428571,0.285714286,0,0.427777778
gamy,gamy,Haptic,2.785714286,2.785714286,0.428571429,2.214285714,2.071428571,0.229166667
garlicky,garlicky,Gustatory,2.142857143,0.142857143,0.142857143,4.952380952,4.428571429,0.407258065
gigantic,gigantic,Visual,4.714285714,3.285714286,1.380952381,0.142857143,0.19047619,0.470588235
giggling,giggling,Auditory,3.952380952,0.571428571,4.714285714,0,0,0.510309278
glamorous,glamorous,Visual,4.666666667,1.571428571,1.714285714,0.238095238,1.238095238,0.46969697
gleaming,gleaming,Visual,4.571428571,0.761904762,0.523809524,0.238095238,0.619047619,0.645390071
glistening,glistening,Visual,4.380952381,0.619047619,0.952380952,0.142857143,0.19047619,0.674242424
glittery,glittery,Visual,4.666666667,2,0.761904762,0.047619048,0.095238095,0.610062893
globular,globular,Visual,4.444444444,3.166666667,0.777777778,0.888888889,0.333333333,0.427745665
glossy,glossy,Visual,4.80952381,3.761904762,0.380952381,0.476190476,0.333333333,0.458536585
glowing,glowing,Visual,4.571428571,0.523809524,0.428571429,0.142857143,0.285714286,0.744
gold,gold,Visual,4.523809524,1.047619048,0.142857143,0.142857143,0.238095238,0.71875
gooey,gooey,Haptic,4.238095238,4.666666667,1.571428571,2.619047619,0.714285714,0.286206897
gorgeous,gorgeous,Visual,4.904761905,2.19047619,1.476190476,2.523809524,2.857142857,0.245733788
grainy,grainy,Haptic,3.428571429,4.19047619,1.238095238,2.333333333,0.476190476,0.318367347
grassy,grassy,Visual,4.619047619,3.238095238,0.2,0.333333333,3,0.387959866
greasy,greasy,Haptic,3.761904762,3.952380952,0.19047619,3.80952381,2.333333333,0.26779661
green,green,Visual,4.952380952,0.380952381,0.238095238,0.523809524,0.714285714,0.692307692
grey,gray,Visual,4.761904762,0.047619048,0.380952381,0.095238095,0.285714286,0.846153846
gritty,gritty,Haptic,3.476190476,4.333333333,1.857142857,1.857142857,0.19047619,0.353658537
groaning,groaning,Auditory,2.142857143,0.142857143,4.476190476,0,0.047619048,0.657342657
grotesque,grotesque,Visual,4.380952381,2.857142857,1.761904762,2.761904762,3,0.177419355
growling,growling,Auditory,3.047619048,0.19047619,4.619047619,0.095238095,0.19047619,0.555555556
grubby,grubby,Visual,4.666666667,2.333333333,0.142857143,0.19047619,2.142857143,0.477386935
gurgling,gurgling,Auditory,3.238095238,0.714285714,4.380952381,0.476190476,0.523809524,0.418367347
hairy,hairy,Visual,4.476190476,4.428571429,0.19047619,0.19047619,0.19047619,0.452261307
handsome,handsome,Visual,4.952380952,1.428571429,0.904761905,0.333333333,1.380952381,0.513227513
happy,happy,Visual,4.333333333,1.238095238,3.619047619,1.142857143,1.285714286,0.274590164
hard,hard,Haptic,3.904761905,4.714285714,1.285714286,1,0.095238095,0.41991342
harsh,harsh,Auditory,3.19047619,2.523809524,3.333333333,2.285714286,1.80952381,0.115942029
hazy,hazy,Visual,4.380952381,0.142857143,0.952380952,0,0.476190476,0.736
heavy,heavy,Haptic,3.523809524,3.904761905,1.714285714,0.571428571,0.238095238,0.368421053
herby,herby,Gustatory,2.80952381,0.761904762,0.047619048,4.80952381,4.142857143,0.378787879
high,high,Visual,4.380952381,2.285714286,2.476190476,0.285714286,0.285714286,0.421568627
hissing,hissing,Auditory,2.095238095,0.333333333,4.523809524,0.047619048,0.047619048,0.635135135
hoarse,hoarse,Auditory,1.55,1.45,3.9,0.35,0.15,0.506756757
hollow,hollow,Visual,4.380952381,4.142857143,3.857142857,0.571428571,0.095238095,0.328467153
honeyed,honeyed,Gustatory,3.047619048,1.333333333,0.333333333,4.095238095,3.571428571,0.303846154
hot,hot,Haptic,3.333333333,4.857142857,1.047619048,4.428571429,1.666666667,0.248447205
howling,howling,Auditory,2.80952381,0.142857143,4.952380952,0.142857143,0.142857143,0.587209302
huge,huge,Visual,4.95,3.714285714,1.428571429,0.380952381,0.333333333,0.427186605
humid,humid,Haptic,1.761904762,3.285714286,0.238095238,0.476190476,1.428571429,0.42384106
hushed,hushed,Auditory,1.80952381,0.142857143,4.380952381,0,0.047619048,0.686567164
husky,husky,Auditory,1.285714286,0.571428571,4.619047619,0.333333333,0.714285714,0.569620253
icy,icy,Visual,4.523809524,4.428571429,1.238095238,1.904761905,0.619047619,0.307116105
immense,immense,Visual,4,2.095238095,2.333333333,1.619047619,1.666666667,0.203252033
insipid,insipid,Visual,1.714285714,0.428571429,0.285714286,0.857142857,1.428571429,0.303030303
itchy,itchy,Haptic,3.142857143,4.80952381,1.285714286,0.333333333,0.285714286,0.458937198
jagged,jagged,Haptic,4.714285714,4.761904762,0.619047619,0.476190476,0.238095238,0.418502203
jammy,jammy,Gustatory,3.333333333,1.523809524,0.238095238,4.714285714,2.476190476,0.364341085
jingling,jingling,Auditory,2.95,1.1,4.95,0.15,0.15,0.516129032
juicy,juicy,Gustatory,3.619047619,2.19047619,1.428571429,4.857142857,2.80952381,0.230031949
khaki,khaki,Visual,4.95,0.55,0.3,0.1,0.25,0.788617886
large,large,Visual,4.857142857,4.19047619,1.476190476,0.571428571,0.380952381,0.390041494
laughing,laughing,Auditory,4.333333333,0.55,4.714285714,0.047619048,0.047619048,0.481454188
leathery,leathery,Haptic,4.142857143,4.571428571,0.523809524,0.380952381,2.857142857,0.335877863
lemony,lemony,Gustatory,2.904761905,0.714285714,0,4.952380952,3.714285714,0.403100775
light,light,Visual,4.142857143,2.380952381,1,1.571428571,1,0.311320755
lilting,lilting,Visual,2.545454545,1.416666667,2.272727273,0.363636364,0.545454545,0.305408271
lithe,lithe,Visual,4.166666667,3,0,0.166666667,0.166666667,0.555555556
little,little,Visual,4.666666667,3.238095238,0.380952381,0.095238095,0,0.556818182
long,long,Visual,4.761904762,3.904761905,0.714285714,0,0,0.507614213
loose,loose,Visual,4.142857143,3.80952381,0.380952381,0.047619048,0.142857143,0.480446927
loud,loud,Auditory,1.571428571,0.238095238,4.952380952,0.238095238,0.095238095,0.684563758
